year,day of year,time
2004,179,0946
2004,179,1028
2004,179,1804
2004,179,2000
2004,180,0018
2004,180,0257
2004,180,0538
2004,180,1405
2004,189,1615
2004,189,2146
2004,190,0030
2004,190,0413
2004,190,1056
2004,190,1154
2004,194,0512
2004,196,0311
2004,196,0659
2004,299,0615
2004,299,0648
2004,299,1222
2004,309,2241
2004,310,0334
2004,310,1336
2004,310,1733
2004,311,0441
2004,311,0744
2004,311,1436
2004,311,2301
2004,312,1243
2004,345,0907
2004,345,1020
2004,345,1324
2004,345,1518
2004,345,1546
2004,345,1817
2004,346,2336
2004,347,0403
2004,347,0742
2004,358,2037
2004,359,0923
2004,360,0445
2004,361,0114
2004,361,0126
2005,3,1904
2005,4,0234
2005,4,0548
2005,4,2136
2005,24,0301
2005,24,0655
2005,24,1422
2005,27,1601
2005,27,1613
2005,42,0752
2005,42,0822
2005,42,1930
2005,55,0846
2005,60,0731
2005,60,1606
2005,63,1607
2005,64,1640
2005,64,1640
2005,64,1839
2005,73,1925
2005,73,2240
2005,73,2347
2005,74,0001
2005,74,0050
2005,74,0242
2005,74,0319
2005,74,0346
2005,74,0538
2005,74,0711
2005,74,1017
2005,74,1201
2005,74,1512
2005,75,0229
2005,75,0249
2005,75,2207
2005,76,0153
2005,76,0831
2005,77,2308
2005,78,0235
2005,78,0821
2005,79,0211
2005,79,0817
2005,79,0920
2005,79,1440
2005,79,1723
2005,84,0519
2005,84,1333
2005,86,0015
2005,86,0236
2005,86,0526
2005,86,0702
2005,86,0903
2005,102,0016
2005,102,0240
2005,102,1038
2005,102,1531
2005,102,2115
2005,102,2207
2005,103,0027
2005,103,0109
2005,110,1839
2005,110,1900
2005,111,0125
2005,111,0847
2005,111,1046
2005,114,0422
2005,114,0543
2005,114,0828
2005,114,1247
2005,114,2152
2005,116,0809
2005,116,1010
2005,130,2051
2005,130,2126
2005,131,0046
2005,134,0542
2005,136,0155
2005,136,0601
2005,136,1025
2005,136,1437
2005,136,1522
2005,136,1543
2005,148,1229
2005,148,1251
2005,148,1637
2005,152,1614
2005,152,1706
2005,152,1941
2005,152,2143
2005,153,0110
2005,153,0457
2005,153,1833
2005,153,2020
2005,154,1104
2005,154,2046
2005,154,2132
2005,155,0301
2005,155,0324
2005,155,0602
2005,155,0849
2005,155,1043
2005,155,1838
2005,155,2041
2005,155,2345
2005,171,0809
2005,171,1340
2005,171,1706
2005,172,1421
2005,172,1754
2005,173,0900
2005,173,1205
2005,174,0532
2005,174,0633
2005,174,1224
2005,174,1411
2005,174,1729
2005,174,1957
2005,174,2345
2005,175,0609
2005,175,0721
2005,182,1048
2005,182,1523
2005,182,1847
2005,182,2043
2005,183,0511
2005,183,0939
2005,183,1719
2005,183,2020
2005,184,1439
2005,184,1735
2005,184,1822
2005,184,2203
2005,185,0005
2005,185,1800
2005,187,1613
2005,187,1925
2005,188,1434
2005,188,1457
2005,188,1853
2005,188,2209
2005,188,2218
2005,188,2248
2005,192,0533
2005,192,1114
2005,192,1502
2005,192,1834
2005,193,0910
2005,193,1543
2005,205,1813
2005,209,2213
2005,209,2352
2005,210,1548
2005,210,2037
2005,220,2258
2005,221,0023
2005,221,0123
2005,221,2129
2005,222,0345
2005,223,0046
2005,223,0314
2005,223,0630
2005,223,1815
2005,224,1331
